@relation synthetic

@attribute outlook {sunny, overcast, rainy}
@attribute maxrefchain real
@attribute numips real
@attribute timdelta1 real
@attribute timedelta2 real
@attribute timedelta3 real
@attribute timedelta4 real
@attribute nummimtype real
@attribute numurls real
@attribute agd {TRUE, FALSE}
@attribute classlabel {yes, no}

@data
sunny,0.16617256,0.16617256,0.16617256,0.16617256,0.16617256,90,80,90,TRUE,no
overcast,0.722324538,0.722324538,0.722324538,0.722324538,0.722324538,86,83,86,FALSE,yes
rainy,0.368668788,0.368668788,0.368668788,0.368668788,0.368668788,96,70,96,FALSE,yes
rainy,0.49527298,0.49527298,0.49527298,0.49527298,0.49527298,80,68,80,FALSE,yes
rainy,0.783999581,0.783999581,0.783999581,0.783999581,0.783999581,70,65,70,TRUE,no
overcast,0.424631476,0.424631476,0.424631476,0.424631476,0.424631476,65,64,65,TRUE,yes
sunny,0.149103364,0.149103364,0.149103364,0.149103364,0.149103364,95,72,95,FALSE,no
sunny,0.538014192,0.538014192,0.538014192,0.538014192,0.538014192,70,69,70,FALSE,yes
rainy,0.662753724,0.662753724,0.662753724,0.662753724,0.662753724,80,75,80,FALSE,yes
sunny,0.643832456,0.643832456,0.643832456,0.643832456,0.643832456,70,75,70,TRUE,yes
overcast,0.812837864,0.812837864,0.812837864,0.812837864,0.812837864,90,72,90,TRUE,yes
overcast,0.334822114,0.334822114,0.334822114,0.334822114,0.334822114,75,81,75,FALSE,yes
rainy,0.281021796,0.281021796,0.281021796,0.281021796,0.281021796,91,71,91,TRUE,no
overcast,0.1210649,0.1210649,0.1210649,0.1210649,0.1210649,20,40,20,TRUE,yes
sunny,0.10192834,0.10192834,0.10192834,0.10192834,0.10192834,60,10,60,FALSE,no
sunny,0.993712878,0.993712878,0.993712878,0.993712878,0.993712878,0,70,0,FALSE,yes
rainy,0.556173713,0.556173713,0.556173713,0.556173713,0.556173713,90,76,90,FALSE,yes
sunny,0.16866397,0.16866397,0.16866397,0.16866397,0.16866397,85,55,85,TRUE,yes
overcast,0.460862092,0.460862092,0.460862092,0.460862092,0.460862092,91,73,91,TRUE,yes
overcast,0.005453869,0.005453869,0.005453869,0.005453869,0.005453869,76,82,76,FALSE,yes
rainy,0.397915076,0.397915076,0.397915076,0.397915076,0.397915076,92,73,92,TRUE,no
sunny,0.660299951,0.660299951,0.660299951,0.660299951,0.660299951,85,85,85,FALSE,no
sunny,0.856870423,0.856870423,0.856870423,0.856870423,0.856870423,90,80,90,TRUE,no
overcast,0.581140183,0.581140183,0.581140183,0.581140183,0.581140183,86,83,86,FALSE,yes
rainy,0.148894969,0.148894969,0.148894969,0.148894969,0.148894969,96,70,96,FALSE,yes
rainy,0.587021802,0.587021802,0.587021802,0.587021802,0.587021802,80,68,80,FALSE,yes
rainy,0.699269434,0.699269434,0.699269434,0.699269434,0.699269434,70,65,70,TRUE,no
overcast,0.454431385,0.454431385,0.454431385,0.454431385,0.454431385,65,64,65,TRUE,yes
sunny,0.116668287,0.116668287,0.116668287,0.116668287,0.116668287,95,72,95,FALSE,no
sunny,0.551643097,0.551643097,0.551643097,0.551643097,0.551643097,70,69,70,FALSE,yes
rainy,0.102920503,0.102920503,0.102920503,0.102920503,0.102920503,80,75,80,FALSE,yes
sunny,0.527485432,0.527485432,0.527485432,0.527485432,0.527485432,70,75,70,TRUE,yes
overcast,0.593681314,0.593681314,0.593681314,0.593681314,0.593681314,90,72,90,TRUE,yes
overcast,0.731876666,0.731876666,0.731876666,0.731876666,0.731876666,75,81,75,FALSE,yes
rainy,0.641621044,0.641621044,0.641621044,0.641621044,0.641621044,91,71,91,TRUE,no
overcast,0.006815754,0.006815754,0.006815754,0.006815754,0.006815754,20,40,20,TRUE,yes
sunny,0.848487884,0.848487884,0.848487884,0.848487884,0.848487884,60,10,60,FALSE,no
sunny,0.162378796,0.162378796,0.162378796,0.162378796,0.162378796,0,70,0,FALSE,yes
rainy,0.876230452,0.876230452,0.876230452,0.876230452,0.876230452,90,76,90,FALSE,yes
sunny,0.350711587,0.350711587,0.350711587,0.350711587,0.350711587,85,55,85,TRUE,yes
overcast,0.875705297,0.875705297,0.875705297,0.875705297,0.875705297,91,73,91,TRUE,yes
overcast,0.184700356,0.184700356,0.184700356,0.184700356,0.184700356,76,82,76,FALSE,yes
rainy,0.108931236,0.108931236,0.108931236,0.108931236,0.108931236,92,73,92,TRUE,no
sunny,0.926362788,0.926362788,0.926362788,0.926362788,0.926362788,85,85,85,FALSE,no
