@relation synthetic-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.Resample-B0.5-S1-Z100.0

@attribute outlook {sunny,overcast,rainy}
@attribute maxrefchain numeric
@attribute numips numeric
@attribute timdelta1 numeric
@attribute timedelta2 numeric
@attribute timedelta3 numeric
@attribute timedelta4 numeric
@attribute nummimtype numeric
@attribute numurls numeric
@attribute agd {TRUE,FALSE}
@attribute classlabel {yes,no}

@data
overcast,0.875705,0.875705,0.875705,0.875705,0.875705,91,73,91,TRUE,yes
sunny,0.926363,0.926363,0.926363,0.926363,0.926363,85,85,85,FALSE,no
sunny,0.166173,0.166173,0.166173,0.166173,0.166173,90,80,90,TRUE,no
overcast,0.875705,0.875705,0.875705,0.875705,0.875705,91,73,91,TRUE,yes
sunny,0.926363,0.926363,0.926363,0.926363,0.926363,85,85,85,FALSE,no
overcast,0.424631,0.424631,0.424631,0.424631,0.424631,65,64,65,TRUE,yes
rainy,0.556174,0.556174,0.556174,0.556174,0.556174,90,76,90,FALSE,yes
overcast,0.1847,0.1847,0.1847,0.1847,0.1847,76,82,76,FALSE,yes
rainy,0.397915,0.397915,0.397915,0.397915,0.397915,92,73,92,TRUE,no
rainy,0.699269,0.699269,0.699269,0.699269,0.699269,70,65,70,TRUE,no
rainy,0.397915,0.397915,0.397915,0.397915,0.397915,92,73,92,TRUE,no
sunny,0.551643,0.551643,0.551643,0.551643,0.551643,70,69,70,FALSE,yes
sunny,0.116668,0.116668,0.116668,0.116668,0.116668,95,72,95,FALSE,no
sunny,0.6603,0.6603,0.6603,0.6603,0.6603,85,85,85,FALSE,no
rainy,0.641621,0.641621,0.641621,0.641621,0.641621,91,71,91,TRUE,no
overcast,0.731877,0.731877,0.731877,0.731877,0.731877,75,81,75,FALSE,yes
overcast,0.424631,0.424631,0.424631,0.424631,0.424631,65,64,65,TRUE,yes
rainy,0.784,0.784,0.784,0.784,0.784,70,65,70,TRUE,no
overcast,0.731877,0.731877,0.731877,0.731877,0.731877,75,81,75,FALSE,yes
overcast,0.424631,0.424631,0.424631,0.424631,0.424631,65,64,65,TRUE,yes
sunny,0.168664,0.168664,0.168664,0.168664,0.168664,85,55,85,TRUE,yes
sunny,0.85687,0.85687,0.85687,0.85687,0.85687,90,80,90,TRUE,no
rainy,0.587022,0.587022,0.587022,0.587022,0.587022,80,68,80,FALSE,yes
overcast,0.334822,0.334822,0.334822,0.334822,0.334822,75,81,75,FALSE,yes
rainy,0.556174,0.556174,0.556174,0.556174,0.556174,90,76,90,FALSE,yes
